Date,CORESTICKM159SFRBATL
1979-04-22,9.837684062
1979-04-29,9.878318787
1979-05-06,9.9516381214
1979-05-13,9.9843227308
1979-05-20,10.0170073402
1979-05-27,10.0496919496
1979-06-03,10.1197358966
1979-06-10,10.1570952342
1979-06-17,10.1944545718
1979-06-24,10.2318139094
1979-07-01,10.3083689375
1979-07-08,10.347564627999999
1979-07-15,10.386760318499999
1979-07-22,10.425956009
1979-07-29,10.4651516995
1979-08-05,10.590629397999999
1979-08-12,10.676911406
1979-08-19,10.763193414
1979-08-26,10.849475422000001
1979-09-02,10.945350534000001
1979-09-09,10.954943638000001
1979-09-16,10.964536742
1979-09-23,10.974129846
1979-09-30,10.98372295
1979-10-07,11.0384351976
1979-10-14,11.0931474452
1979-10-21,11.1478596928
1979-10-28,11.2025719404
1979-11-04,11.3911450138
1979-11-11,11.5250058396
1979-11-18,11.6588666654
1979-11-25,11.7927274912
1979-12-02,12.061188044833333
1979-12-09,12.195787772666668
1979-12-16,12.3303875005
1979-12-23,12.464987228333333
1979-12-30,12.599586956166668
1980-01-06,12.881296496400001
1980-01-13,13.028406308800001
1980-01-20,13.1755161212
1980-01-27,13.3226259336
1980-02-03,13.4956871326
1980-02-10,13.5216385192
1980-02-17,13.5475899058
1980-02-24,13.5735412924
1980-03-02,13.721521803166667
1980-03-09,13.843550927333334
1980-03-16,13.965580051500002
1980-03-23,14.087609175666667
1980-03-30,14.209638299833333
1980-04-06,14.4163749388
1980-04-13,14.5010824536
1980-04-20,14.5857899684
1980-04-27,14.6704974832
1980-05-04,14.8272185654
1980-05-11,14.8992321328
1980-05-18,14.9712457002
1980-05-25,15.0432592676
1980-06-01,15.225088482333334
1980-06-08,15.334904129666667
1980-06-15,15.444719777
1980-06-22,15.554535424333334
1980-06-29,15.664351071666667
1980-07-06,15.4460154228
1980-07-13,15.1178641266
1980-07-20,14.7897128304
1980-07-27,14.4615615342
1980-08-03,13.960400097399999
1980-08-10,13.7873899568
1980-08-17,13.6143798162
1980-08-24,13.4413696756
1980-08-31,13.268359535
1980-09-07,13.2322381574
1980-09-14,13.1961167798
1980-09-21,13.1599954022
1980-09-28,13.123874024600001
1980-10-05,13.0870398682
1980-10-12,13.0863270894
1980-10-19,13.0856143106
1980-10-26,13.0849015318
1980-11-02,13.041471364
1980-11-09,12.998753975
1980-11-16,12.956036586
1980-11-23,12.913319197
1980-11-30,12.870601808
1980-12-07,12.8335318462
1980-12-14,12.7964618844
1980-12-21,12.7593919226
1980-12-28,12.7223219608
1981-01-04,12.5518217134
1981-01-11,12.4183914278
1981-01-18,12.2849611422
1981-01-25,12.151530856599999
1981-02-01,11.8603346954
1981-02-08,11.7025688198
1981-02-15,11.5448029442
1981-02-22,11.3870370686
1981-03-01,11.077616239333334
1981-03-08,10.925961285666666
1981-03-15,10.774306332
1981-03-22,10.622651378333334
1981-03-29,10.470996424666666
1981-04-05,10.1975925036
1981-04-12,10.075843536199999
1981-04-19,9.9540945688
1981-04-26,9.8323456014
1981-05-03,9.689109434
1981-05-10,9.667622234
1981-05-17,9.646135034
1981-05-24,9.624647834
